,ground_truth,logits,image_name
115,Y,"[-3.5939290523529053, 3.5330498218536377, 3.183891534805298, -0.3951597809791565]",115.png
116,Y,"[-3.60884690284729, 3.7269861698150635, 3.3746674060821533, -0.5468713045120239]",116.png
117,Y,"[-3.492988109588623, 2.353747606277466, 4.583214282989502, -0.3972319960594177]",117.png
118,Y,"[-3.357778549194336, 4.671167373657227, 1.5909236669540405, -0.4232800006866455]",118.png
119,Y,"[-3.3000454902648926, 6.325594902038574, 0.9833208322525024, -1.3143599033355713]",119.png
120,Y,"[-3.713738441467285, 4.915598392486572, 1.097354769706726, 0.5043174028396606]",120.png
121,Y,"[-3.3990063667297363, 1.088508129119873, 4.444684028625488, 0.6669540405273438]",121.png
122,Y,"[-2.766737222671509, 1.3161134719848633, 4.661500453948975, -0.402715265750885]",122.png
123,Y,"[-3.3488399982452393, 0.5425056219100952, 5.418092250823975, 0.4030594229698181]",123.png
124,Y,"[-3.68505597114563, 3.0787298679351807, 3.661350727081299, -0.20225375890731812]",124.png
125,Y,"[-3.173015594482422, 0.6950221657752991, 5.784268856048584, -0.25349336862564087]",125.png
126,Y,"[-3.3862342834472656, 0.7374985814094543, 5.3098883628845215, 0.21269744634628296]",126.png
127,Y,"[-3.3315489292144775, 0.25502970814704895, 4.7920756340026855, 1.227216124534607]",127.png
128,Y,"[-3.341132640838623, 2.1814823150634766, 4.310048580169678, -0.27055424451828003]",128.png
129,Y,"[-3.142368793487549, 0.4496535658836365, 4.613259315490723, 1.113161325454712]",129.png
130,Y,"[-3.8664894104003906, 2.8143997192382812, 2.262643337249756, 1.4427341222763062]",130.png
131,Y,"[-3.865100860595703, 2.905970811843872, 2.9491279125213623, 0.5784595608711243]",131.png
132,Y,"[-3.5319340229034424, 1.7445318698883057, 2.3119094371795654, 1.8695106506347656]",132.png
133,Y,"[-3.2142698764801025, -0.3437853157520294, 4.4435248374938965, 1.8279920816421509]",133.png
134,Y,"[-3.2078161239624023, 0.7701013684272766, 4.5126471519470215, 0.8107149600982666]",134.png
135,Y,"[-2.9178900718688965, 0.07612265646457672, 5.90913724899292, 0.22914284467697144]",135.png
136,Y,"[-2.7966623306274414, -0.758518397808075, 5.566519737243652, 1.1398733854293823]",136.png
137,Y,"[-3.450181245803833, 0.5517902374267578, 4.994128704071045, 0.9142928719520569]",137.png
138,Y,"[-3.5919764041900635, 0.44337165355682373, 3.5055487155914307, 2.374607801437378]",138.png
139,None,"[-2.92087721824646, 0.48348841071128845, 3.442392110824585, 1.9011507034301758]",139.png
140,None,"[-2.2298126220703125, 1.2197431325912476, 1.6553455591201782, 1.9790048599243164]",140.png
141,None,"[-2.915647268295288, 2.6361775398254395, 1.4618542194366455, 1.2005139589309692]",141.png
142,None,"[-2.7816693782806396, 1.6403056383132935, 1.8785760402679443, 1.2796742916107178]",142.png
143,None,"[-2.5662925243377686, -0.5219770669937134, 1.9074978828430176, 3.5727286338806152]",143.png
144,None,"[-1.1911572217941284, -1.6472671031951904, 0.9415715932846069, 4.508103370666504]",144.png
145,None,"[-1.5235273838043213, -0.21108852326869965, 1.7875384092330933, 1.9620355367660522]",145.png
146,None,"[-1.4212324619293213, -0.6847609281539917, 0.8656619787216187, 3.4842450618743896]",146.png
147,None,"[-0.6555103063583374, 1.9923973083496094, -0.5285400152206421, 1.3431885242462158]",147.png
148,None,"[-0.7851215600967407, 0.8142737150192261, 0.5239555239677429, 1.784608244895935]",148.png
149,None,"[-0.5729243755340576, -0.3142719566822052, 0.5133777856826782, 2.8510072231292725]",149.png
150,None,"[0.6052991151809692, -0.22991637885570526, 0.2111654132604599, 1.3894751071929932]",150.png
151,None,"[-0.8546857833862305, 1.597828984260559, 0.08549214154481888, 1.2170301675796509]",151.png
152,None,"[0.30613166093826294, 0.13964328169822693, 0.2799338698387146, 1.2447841167449951]",152.png
153,None,"[0.12417897582054138, 0.13588130474090576, 0.2253648042678833, 1.6708158254623413]",153.png
154,None,"[-0.7388045787811279, 3.1317861080169678, -0.8477789759635925, 0.47156834602355957]",154.png
155,None,"[-0.9886600971221924, 1.481086254119873, 0.26764726638793945, 0.9673020243644714]",155.png
156,None,"[0.5577073097229004, 0.5112980008125305, -0.1311672180891037, 0.9842333197593689]",156.png
157,None,"[0.12490198016166687, 0.09827515482902527, 0.5864077210426331, 1.306503415107727]",157.png
158,None,"[-0.3849109709262848, 0.21433614194393158, 1.036388874053955, 1.4098485708236694]",158.png
159,None,"[0.5579770803451538, 0.0244382806122303, 0.5572797060012817, 1.1361454725265503]",159.png
160,None,"[-0.7725706100463867, 0.17572718858718872, 0.8672763109207153, 2.0814411640167236]",160.png
161,None,"[-0.6083509922027588, 1.0893803834915161, 0.5091676712036133, 1.417037844657898]",161.png
162,None,"[-0.5944420099258423, 0.08152717351913452, 0.3531317114830017, 2.469709634780884]",162.png
163,None,"[-1.6077115535736084, 0.4869237244129181, 0.7751437425613403, 2.416201114654541]",163.png
164,None,"[-1.4180684089660645, 0.9811250567436218, 0.6522033214569092, 1.826269268989563]",164.png
165,None,"[-0.9718148708343506, 0.3264806568622589, 1.0528239011764526, 1.745507001876831]",165.png
166,None,"[0.08744445443153381, -0.28537577390670776, 0.33514928817749023, 2.265857696533203]",166.png
167,None,"[-1.2297749519348145, 1.1005195379257202, 0.5731468796730042, 1.5510469675064087]",167.png
168,None,"[-2.105055809020996, 3.53429913520813, -0.6193959712982178, 1.3380621671676636]",168.png
169,None,"[-1.1482139825820923, 1.0599958896636963, 0.5306862592697144, 1.4872857332229614]",169.png
170,None,"[-1.5572413206100464, 1.2608282566070557, 0.3017420470714569, 2.272425651550293]",170.png
171,None,"[-1.3891510963439941, 0.29658767580986023, 0.7522842884063721, 2.549288272857666]",171.png
172,None,"[-1.0342692136764526, 0.2091483175754547, 0.649766206741333, 2.122265577316284]",172.png
173,None,"[-0.7849397659301758, 0.5013617873191833, 0.33243945240974426, 2.1090400218963623]",173.png
174,None,"[-1.4530234336853027, 0.8518982529640198, 0.5145931839942932, 2.4601635932922363]",174.png
175,None,"[-0.677361011505127, -0.17764943838119507, 1.0150864124298096, 2.459580659866333]",175.png
176,None,"[-0.324710875749588, 0.8980557322502136, 0.38898909091949463, 1.089784026145935]",176.png
177,None,"[-0.06088446080684662, 0.3721631169319153, 0.20812064409255981, 1.1995071172714233]",177.png
178,None,"[-1.080091953277588, 2.017784595489502, 0.3543927073478699, 0.8243178129196167]",178.png
179,None,"[-1.9678373336791992, 1.7201570272445679, 0.899466872215271, 1.2945901155471802]",179.png
180,None,"[-1.7513129711151123, 3.0848915576934814, 0.27042028307914734, 0.31786680221557617]",180.png
181,None,"[-2.188469409942627, 3.460644006729126, 0.24700789153575897, 0.6868575215339661]",181.png
182,None,"[-1.2309107780456543, 0.9768067002296448, 1.0884641408920288, 1.0364450216293335]",182.png
183,None,"[-1.9794073104858398, 1.8483155965805054, 1.7025729417800903, 0.4833275079727173]",183.png
184,None,"[-1.726599097251892, 2.180609941482544, 1.0477620363235474, 0.48208415508270264]",184.png
185,None,"[-2.5302748680114746, 2.3427188396453857, 1.5107148885726929, 0.7164701223373413]",185.png
186,None,"[-1.7975877523422241, 1.8903419971466064, -0.663354218006134, 2.518311023712158]",186.png
187,Y,"[-3.023942470550537, -0.44059404730796814, -0.6834881901741028, 7.644063949584961]",187.png
188,Y,"[-2.427300453186035, -1.202785611152649, -0.9841978549957275, 8.270100593566895]",188.png
189,Y,"[-2.400290012359619, -1.367173433303833, -1.1699585914611816, 8.784872055053711]",189.png
190,Y,"[-2.7301957607269287, -1.762082815170288, -0.8058047890663147, 9.338970184326172]",190.png
191,Y,"[-2.9522905349731445, -1.581002950668335, -0.7721359729766846, 9.194079399108887]",191.png
192,Y,"[-2.770538806915283, -1.2745134830474854, -0.8156030774116516, 8.605695724487305]",192.png
193,Y,"[-2.972010850906372, -1.8403092622756958, -0.8712193965911865, 9.941258430480957]",193.png
194,Y,"[-2.9425525665283203, -2.4761083126068115, -0.7465741634368896, 10.784980773925781]",194.png
195,Y,"[-2.0186362266540527, -3.320169448852539, -0.845271110534668, 11.071121215820312]",195.png
196,Y,"[-1.9336432218551636, -2.560959577560425, -1.0320934057235718, 10.000347137451172]",196.png
197,Y,"[-1.8090366125106812, -2.8006622791290283, -0.8522245287895203, 9.899958610534668]",197.png
198,Y,"[-2.2813169956207275, -2.5298402309417725, -0.9323776960372925, 10.246917724609375]",198.png
199,Y,"[-1.801572561264038, -2.94507098197937, -0.9183673858642578, 10.284416198730469]",199.png
200,Y,"[-1.4744377136230469, -3.2790472507476807, -0.9574346542358398, 10.354402542114258]",200.png
201,Y,"[-1.5632319450378418, -2.8435516357421875, -1.182847261428833, 10.196798324584961]",201.png
202,Y,"[-1.6376467943191528, -2.8089890480041504, -1.0167174339294434, 10.016824722290039]",202.png
203,Y,"[-1.6984572410583496, -2.7295217514038086, -0.8574483394622803, 9.710786819458008]",203.png
204,Y,"[-1.9218757152557373, -2.527214527130127, -0.9531208872795105, 9.745659828186035]",204.png
205,Y,"[-1.4975342750549316, -3.2079999446868896, -0.9490953683853149, 10.33108139038086]",205.png
206,Y,"[-1.3635101318359375, -2.9577243328094482, -1.024783730506897, 9.867481231689453]",206.png
207,Y,"[-2.001389265060425, -2.0995614528656006, -1.0890649557113647, 9.660065650939941]",207.png
208,Y,"[-1.595138430595398, -2.978102922439575, -1.177415132522583, 10.49909782409668]",208.png
209,Y,"[-1.8703742027282715, -3.2430522441864014, -0.9449732899665833, 10.910629272460938]",209.png
210,Y,"[-1.766427993774414, -3.05137038230896, -0.8700276613235474, 10.31173324584961]",210.png
211,Y,"[-2.1434857845306396, -2.6342666149139404, -0.8051124811172485, 10.137639045715332]",211.png
212,Y,"[-1.7194814682006836, -2.6653311252593994, -1.0501161813735962, 9.937661170959473]",212.png
213,Y,"[-2.5833306312561035, -1.272247552871704, -1.1181316375732422, 9.159660339355469]",213.png
214,Y,"[-2.5327439308166504, -1.8444865942001343, -1.0169252157211304, 9.801376342773438]",214.png
215,Y,"[-2.0051069259643555, -2.560828924179077, -0.8630537986755371, 9.77326774597168]",215.png
216,Y,"[-2.182183265686035, -1.9741663932800293, -0.916079580783844, 9.039490699768066]",216.png
217,Y,"[-2.559640407562256, -2.1245241165161133, -0.8152716159820557, 9.617952346801758]",217.png
218,Y,"[-2.654602527618408, -0.5381887555122375, -1.3703291416168213, 8.29280948638916]",218.png
219,None,"[-2.2053842544555664, 7.987093925476074, -2.651479482650757, -0.5957018136978149]",219.png
220,None,"[-1.7908108234405518, 7.681153297424316, -2.3408451080322266, -1.173137903213501]",220.png
221,None,"[-2.239455223083496, 10.549311637878418, -2.677839517593384, -2.513061761856079]",221.png
222,F,"[-2.7124886512756348, 11.223503112792969, -2.5629639625549316, -2.6374001502990723]",222.png
223,F,"[-2.649925947189331, 10.460607528686523, -2.2100021839141846, -2.502885341644287]",223.png
224,F,"[-2.437864065170288, 10.442779541015625, -2.2941014766693115, -2.6166553497314453]",224.png
225,F,"[-2.285525321960449, 10.734423637390137, -2.6159043312072754, -2.6427009105682373]",225.png
226,F,"[-2.220170736312866, 10.799002647399902, -2.6993935108184814, -2.67490291595459]",226.png
227,F,"[-2.4665775299072266, 11.408279418945312, -2.781383752822876, -2.793396472930908]",227.png
228,F,"[-2.5642175674438477, 11.3414306640625, -2.6381824016571045, -2.7932229042053223]",228.png
229,F,"[-2.404155731201172, 10.276020050048828, -2.2827818393707275, -2.561115264892578]",229.png
230,F,"[-2.3858718872070312, 11.427815437316895, -2.755004405975342, -2.9004149436950684]",230.png
231,F,"[-2.3688511848449707, 10.764250755310059, -2.4987480640411377, -2.7107815742492676]",231.png
232,F,"[-2.505309820175171, 11.049131393432617, -2.567777395248413, -2.7110791206359863]",232.png
233,F,"[-2.2103075981140137, 9.839460372924805, -2.554147243499756, -2.113016366958618]",233.png
234,F,"[-2.4607582092285156, 10.743232727050781, -2.612924098968506, -2.475074052810669]",234.png
235,F,"[-2.6229236125946045, 10.421295166015625, -2.4977567195892334, -2.1764328479766846]",235.png
236,F,"[-2.3472585678100586, 10.100860595703125, -2.360290050506592, -2.3764827251434326]",236.png
237,F,"[-2.221663475036621, 10.28196907043457, -2.631016492843628, -2.36936092376709]",237.png
238,F,"[-2.5611958503723145, 9.518901824951172, -2.1467082500457764, -1.844156265258789]",238.png
239,F,"[-2.221691608428955, 10.051469802856445, -2.4435272216796875, -2.3929567337036133]",239.png
240,F,"[-2.2878785133361816, 8.891172409057617, -2.027561902999878, -1.9041353464126587]",240.png
241,F,"[-2.5042433738708496, 9.68433952331543, -2.1766326427459717, -2.1012167930603027]",241.png
242,F,"[-2.2361207008361816, 9.72053337097168, -2.297753095626831, -2.292222261428833]",242.png
243,F,"[-2.3004894256591797, 10.142434120178223, -2.486747980117798, -2.3286685943603516]",243.png
244,F,"[-2.1677494049072266, 9.941624641418457, -2.4775032997131348, -2.312558650970459]",244.png
245,F,"[-2.2705016136169434, 10.524988174438477, -2.4656360149383545, -2.6218366622924805]",245.png
246,F,"[-2.380751371383667, 10.213165283203125, -2.4345390796661377, -2.347526788711548]",246.png
247,F,"[-2.229654550552368, 9.723098754882812, -2.499157190322876, -2.0779576301574707]",247.png
248,F,"[-2.1737821102142334, 10.609021186828613, -2.8016183376312256, -2.4822397232055664]",248.png
249,F,"[-2.3853445053100586, 10.712776184082031, -2.6613399982452393, -2.489394426345825]",249.png
250,F,"[-2.50569486618042, 11.238533973693848, -2.6958563327789307, -2.730010986328125]",250.png
251,F,"[-2.418560743331909, 11.200296401977539, -2.745850086212158, -2.7328238487243652]",251.png
252,F,"[-2.5926504135131836, 11.352864265441895, -2.7396764755249023, -2.676053047180176]",252.png
253,F,"[-2.407140016555786, 11.233749389648438, -2.8094418048858643, -2.7052812576293945]",253.png
254,F,"[-2.621990442276001, 11.521025657653809, -2.6442675590515137, -2.858715534210205]",254.png
255,F,"[-2.3802638053894043, 10.408211708068848, -2.5048716068267822, -2.4568495750427246]",255.png
256,F,"[-2.606966018676758, 11.316590309143066, -2.6472437381744385, -2.734041690826416]",256.png
257,F,"[-2.5991556644439697, 11.401078224182129, -2.6959457397460938, -2.7550864219665527]",257.png
258,F,"[-2.390514373779297, 10.90531063079834, -2.7384750843048096, -2.5456602573394775]",258.png
259,None,"[-2.1957173347473145, 0.6824113130569458, 0.21487957239151, 3.545620918273926]",259.png
260,None,"[-3.095390558242798, 0.5735654234886169, 3.605720043182373, 1.3833441734313965]",260.png
261,None,"[-1.8488049507141113, -0.7104196548461914, 7.1931023597717285, -1.024816870689392]",261.png
262,None,"[-2.2412919998168945, -1.0175080299377441, 8.549723625183105, -1.2045131921768188]",262.png
263,L,"[-2.4031448364257812, -1.1751590967178345, 8.47317123413086, -0.9002675414085388]",263.png
264,L,"[-2.6238389015197754, -1.5874868631362915, 9.508370399475098, -0.9018369913101196]",264.png
265,L,"[-2.188262462615967, -1.6851732730865479, 8.757472038269043, -0.7263085842132568]",265.png
266,L,"[-2.1218793392181396, -1.8118536472320557, 8.93181037902832, -0.765661358833313]",266.png
267,L,"[-2.1439974308013916, -1.9575490951538086, 9.062434196472168, -0.7150481939315796]",267.png
268,L,"[-2.461390733718872, -1.952580213546753, 9.550003051757812, -0.7689810991287231]",268.png
269,L,"[-2.0596485137939453, -2.1456358432769775, 9.299162864685059, -0.773106038570404]",269.png
270,L,"[-1.854830026626587, -2.2143280506134033, 9.189504623413086, -0.7461848258972168]",270.png
271,L,"[-2.3393311500549316, -1.8821368217468262, 9.184708595275879, -0.7086839079856873]",271.png
272,L,"[-2.3499419689178467, -1.562979817390442, 9.12492561340332, -0.9750147461891174]",272.png
273,L,"[-1.9730503559112549, -1.847681999206543, 8.846569061279297, -0.8890079259872437]",273.png
274,L,"[-2.3935933113098145, -2.0259640216827393, 9.702986717224121, -0.7769746780395508]",274.png
275,L,"[-2.604156017303467, -1.5955448150634766, 9.846468925476074, -1.0851589441299438]",275.png
276,L,"[-2.3101110458374023, -1.2544968128204346, 8.684920310974121, -1.0620079040527344]",276.png
277,L,"[-2.34439754486084, -1.9962728023529053, 9.630667686462402, -0.8223326206207275]",277.png
278,L,"[-2.3328728675842285, -1.7880772352218628, 9.069979667663574, -0.7384001016616821]",278.png
279,L,"[-2.297736883163452, -1.984856128692627, 9.513574600219727, -0.778961181640625]",279.png
280,L,"[-2.101722478866577, -1.7859833240509033, 8.643478393554688, -0.701222836971283]",280.png
281,L,"[-2.704263925552368, -1.123918056488037, 8.969670295715332, -1.0133376121520996]",281.png
